Aggregate with Dmax= 1026.64 and aeff= 211.234
4935  = NAT
1.000	0.000	0.000	= target vector a1 (in TF)
0.000	1.000	0.000	= target vector a1 (in TF)
1.	1.	1.	= d_x/d d_y/d d_z/d (normally 1 1 1)
J	JX	JY	JZ	ICMPX	ICMPY	ICMPZ
182  -2  -3  -7   1   1   1
183  -5  -4  -2   1   1   1
184  -4  -3  -4   1   1   1
185  -3  -4  -6   1   1   1
186  -2   0  -6   1   1   1
187  -1   0   1   1   1   1
188   0  -5  -0   1   1   1
189  -5   1  -5   1   1   1
190  -6  -2  -5   1   1   1
191  -5  -3  -4   1   1   1
192  -6  -3  -3   1   1   1
193  -7  -4  -3   1   1   1
194  -1  -3  -6   1   1   1
195  -6  -0  -3   1   1   1
196  -7   0  -4   1   1   1
197  -8   1  -4   1   1   1
198  -6  -1   2   1   1   1
199   3   2  -2   1   1   1
200  -5   2  -2   1   1   1
201  -2   3  -0   1   1   1
202   0  -2  -3   1   1   1
203   1  -2  -4   1   1   1
204   1  -3  -5   1   1   1
205   1  -2  -5   1   1   1
206   2  -0  -4   1   1   1
207   2  -1  -5   1   1   1
208   2  -2  -6   1   1   1
209   0   1  -5   1   1   1
210  -4  -0  -5   1   1   1
211  -8  -4  -3   1   1   1
212  -5   1  -4   1   1   1
213   4   0  -1   1   1   1
214   4   1  -2   1   1   1
215  -5  -4  -1   1   1   1
216  -6  -1   1   1   1   1
217   0   2   3   1   1   1
218  -3   3  -2   1   1   1
219  -3   2  -0   1   1   1
220   5   2  -2   1   1   1
221   4   2  -1   1   1   1
222   3   2  -1   1   1   1
223   5   3  -1   1   1   1
224   4   3  -1   1   1   1
225   3   3  -1   1   1   1
226   2   3  -0   1   1   1
227   1   3   0   1   1   1
228   5   4  -1   1   1   1
229   4   4  -1   1   1   1
230   3   4  -0   1   1   1
231   2   4   0   1   1   1
232   1   4   1   1   1   1
233   5   2  -1   1   1   1
234   5   2  -0   1   1   1
235   4   2   0   1   1   1
236   3   2   1   1   1   1
237   2   2   1   1   1   1
238   4   3  -0   1   1   1
239   3   3   1   1   1   1
240   2   3   1   1   1   1
241   4   4  -0   1   1   1
242   3   4   1   1   1   1
243   2   4   1   1   1   1
244   6   2   0   1   1   1
245   5   2   1   1   1   1
246   4   2   1   1   1   1
247   3   2   2   1   1   1
248   2   2   2   1   1   1
249   6   3   0   1   1   1
250   5   3   1   1   1   1
251   4   3   1   1   1   1
252   3   3   2   1   1   1
253   2   3   2   1   1   1
254   6   4   0   1   1   1
255   5   4   1   1   1   1
256   4   4   1   1   1   1
257   3   4   2   1   1   1
258   2   4   2   1   1   1
259  -6  -2   2   1   1   1
260  -5  -2  -0   1   1   1
261  -6  -2   1   1   1   1
262  -6  -3   2   1   1   1
263  -5  -2   1   1   1   1
264  -5  -2   2   1   1   1
265  -4  -1   1   1   1   1
266  -4  -2   2   1   1   1
267  -5  -2   3   1   1   1
