Aggregate with Dmax= 1026.64 and aeff= 211.234
4935  = NAT
1.000	0.000	0.000	= target vector a1 (in TF)
0.000	1.000	0.000	= target vector a1 (in TF)
1.	1.	1.	= d_x/d d_y/d d_z/d (normally 1 1 1)
J	JX	JY	JZ	ICMPX	ICMPY	ICMPZ
833 -10  10  -0   1   1   1
834  -9   7  -0   1   1   1
835 -10   8  -0   1   1   1
836 -10   9  -0   1   1   1
837  -2  -5   4   1   1   1
838  -4  -5   3   1   1   1
839  -4  -4  -7   1   1   1
840  -5  -4  -6   1   1   1
841  -6  -4  -6   1   1   1
842 -11  -3   2   1   1   1
843 -12  -3   3   1   1   1
844 -12  -2   4   1   1   1
845 -11  -2   3   1   1   1
846 -11  -2   4   1   1   1
847 -11  -2   2   1   1   1
848 -12  -1   3   1   1   1
849 -12  -3   1   1   1   1
850 -12  -2   2   1   1   1
851 -13  -1   2   1   1   1
852 -11  -2   1   1   1   1
853 -11  -1   2   1   1   1
854 -11  -1   3   1   1   1
855  -3   1   3   1   1   1
856  -0  -6 -13   1   1   1
857  -1  -7 -12   1   1   1
858  -2  -7 -12   1   1   1
859   1  -7 -12   1   1   1
860  -0  -8 -12   1   1   1
861  -1  -8 -12   1   1   1
862   1  -8 -12   1   1   1
863  -1  -9 -11   1   1   1
864  -5   6   2   1   1   1
865  -5   5   3   1   1   1
866 -10  -2   5   1   1   1
867  -4  -0   3   1   1   1
868  -5   1   2   1   1   1
869  -4  -0   2   1   1   1
870  -1   1   6   1   1   1
871  -1   2   6   1   1   1
872  -0   3   7   1   1   1
873  -2   1   7   1   1   1
874  -1   2   7   1   1   1
875  -1   3   8   1   1   1
876  -1   1   7   1   1   1
877  -0   2   8   1   1   1
878   0   1   6   1   1   1
879  -0   0   7   1   1   1
880  -0   1   8   1   1   1
881  11  -6   1   1   1   1
882  12  -5   1   1   1   1
883  10  -5   1   1   1   1
884  11  -5   1   1   1   1
885  11  -4   1   1   1   1
886  10  -5   2   1   1   1
887  11  -5   2   1   1   1
888  12  -4   2   1   1   1
889  10  -6   3   1   1   1
890  11  -5   3   1   1   1
891  12  -4   3   1   1   1
892  10  -4   2   1   1   1
893  11  -3   2   1   1   1
894  -4  -6   3   1   1   1
895   3   2  -5   1   1   1
896   5   7  -8   1   1   1
897   4   7  -7   1   1   1
898   1   4   2   1   1   1
899   2  -0  -9   1   1   1
900  -1  -6   5   1   1   1
901   8  -2  -5   1   1   1
902  -4  -0  -8   1   1   1
903  -3   1  -6   1   1   1
904   1   6  -7   1   1   1
905   1   6  -6   1   1   1
906   1   7  -6   1   1   1
907 -11  -1  -4   1   1   1
908 -11  -0  -4   1   1   1
909 -11   1  -5   1   1   1
910 -11   1  -6   1   1   1
911 -11   2  -6   1   1   1
912 -11  -1  -5   1   1   1
913 -11   0  -6   1   1   1
914 -10   1  -6   1   1   1
915 -10   2  -7   1   1   1
916 -10  -2  -5   1   1   1
917 -10  -1  -6   1   1   1
918 -10   0  -7   1   1   1
919 -10   1  -8   1   1   1
920 -10  -1  -3   1   1   1
921 -10   0  -4   1   1   1
922 -10   1  -5   1   1   1
923 -10   2  -5   1   1   1
924 -10   2  -6   1   1   1
925 -10  -1  -4   1   1   1
926 -10  -0  -5   1   1   1
927  -9   2  -6   1   1   1
928  -9  -2  -5   1   1   1
929  -9  -1  -5   1   1   1
930  -9  -0  -6   1   1   1
931  -9   1  -7   1   1   1
932 -10  -0  -3   1   1   1
933  -9   1  -4   1   1   1
934  -9   2  -5   1   1   1
935  -9   3  -5   1   1   1
936  -9  -1  -3   1   1   1
937  -9  -0  -4   1   1   1
938  -9   1  -5   1   1   1
939  -9  -2  -4   1   1   1
940  -8  -1  -5   1   1   1
941  -8  -0  -5   1   1   1
942  -8   1  -6   1   1   1
943  -8   2  -7   1   1   1
944  -2  -8  -6   1   1   1
945  -1   6   1   1   1   1
946  -1   5   1   1   1   1
947  -1   4   1   1   1   1
948   2  -1  -9   1   1   1
949  -1  -7  -9   1   1   1
950  -6  -3  -5   1   1   1
951  -6  -2  -6   1   1   1
952  -6  -1  -7   1   1   1
953   2   5  -9   1   1   1
954   2   6  -9   1   1   1
955   3   3  -4   1   1   1
956   2   3  -4   1   1   1
957   1   3  -5   1   1   1
958   3  -2 -10   1   1   1
959   6   5   1   1   1   1
960   7   4   1   1   1   1
961   8   4   1   1   1   1
962   7   5   0   1   1   1
963   7   5   1   1   1   1
964   8   5   1   1   1   1
965   7   6   0   1   1   1
966   8   6   1   1   1   1
967   9   6   1   1   1   1
968   2  -5   7   1   1   1
969   1  -4   7   1   1   1
970   1  -3   7   1   1   1
971   0  -2   7   1   1   1
972   1  -6   7   1   1   1
973   0  -5   7   1   1   1
974  -0  -4   7   1   1   1
975  -1  -3   6   1   1   1
976  -2  -2   6   1   1   1
977   1  -5   7   1   1   1
978  -0  -3   7   1   1   1
979  -1  -2   7   1   1   1
980   2  -5   8   1   1   1
981   1  -4   8   1   1   1
982   1  -3   8   1   1   1
983   0  -2   8   1   1   1
984  -1  -2   8   1   1   1
985   1  -6   8   1   1   1
986   0  -5   8   1   1   1
987  -0  -4   8   1   1   1
988  -1  -3   8   1   1   1
989  -2  -2   8   1   1   1
990  -4   1   3   1   1   1
991  -3   6   1   1   1   1
992   1   8  -4   1   1   1
993   0   8  -3   1   1   1
994  -1   8  -2   1   1   1
995   1   7  -3   1   1   1
996   0   7  -2   1   1   1
997  -1   7  -2   1   1   1
998   1   8  -2   1   1   1
999  -0   8  -2   1   1   1
1000   2   8  -3   1   1   1
1001   1   9  -2   1   1   1
1002   0   9  -1   1   1   1
1003   2   7  -2   1   1   1
1004   1   7  -1   1   1   1
1005   0   8  -1   1   1   1
1006  -5   7   2   1   1   1
1007  -6   8   2   1   1   1
1008   6   4   2   1   1   1
1009 -11  -2  -6   1   1   1
1010 -12  -2  -6   1   1   1
1011 -10   3   2   1   1   1
1012 -11   2   1   1   1   1
1013 -11   1   1   1   1   1
1014  -9   1   2   1   1   1
1015 -10   1   2   1   1   1
1016 -10   0   1   1   1   1
1017 -10   2   3   1   1   1
1018 -11   1   2   1   1   1
1019 -11   2   3   1   1   1
1020 -11   2   2   1   1   1
1021 -12   1   2   1   1   1
1022 -10   1   3   1   1   1
1023 -11   1   3   1   1   1
1024 -11   0   2   1   1   1
1025  -5  -0   3   1   1   1
1026  -2   6   2   1   1   1
1027  -2   6   3   1   1   1
1028  -3   5   4   1   1   1
1029  -1   5   2   1   1   1
1030  -2   4   3   1   1   1
1031  -1   5   3   1   1   1
1032  -2   5   4   1   1   1
1033  -1   6   2   1   1   1
1034  -1   6   3   1   1   1
1035  -1   6   4   1   1   1
1036  -0   5   2   1   1   1
1037  -0   5   3   1   1   1
1038  -1   4   4   1   1   1
1039 -11  -1   6   1   1   1
1040  10   3   2   1   1   1
1041  10   4   2   1   1   1
1042   9   5   2   1   1   1
1043   9   3   1   1   1   1
1044   9   4   1   1   1   1
1045   9   5   1   1   1   1
1046   9   3   2   1   1   1
1047   9   4   2   1   1   1
1048   9   3   3   1   1   1
1049   9   4   3   1   1   1
1050   8   5   3   1   1   1
1051   8   3   2   1   1   1
1052   8   4   2   1   1   1
1053   6   1  -3   1   1   1
1054   6   1  -2   1   1   1
1055   6   1  -1   1   1   1
1056   4   2   4   1   1   1
1057   5   2   4   1   1   1
1058   6   1   3   1   1   1
1059   3   2   3   1   1   1
1060   4   2   3   1   1   1
1061   5   2   2   1   1   1
1062   5   2   3   1   1   1
1063   4   3   5   1   1   1
1064   5   3   4   1   1   1
1065   6   3   4   1   1   1
1066   3   3   3   1   1   1
1067   4   3   3   1   1   1
1068   5   3   3   1   1   1
1069   9   6   0   1   1   1
1070   5   2   5   1   1   1
1071   5   3   5   1   1   1
1072   6   4   5   1   1   1
1073   6   5   6   1   1   1
1074   6   1   5   1   1   1
1075   6   2   5   1   1   1
1076   6   3   5   1   1   1
1077   6   4   6   1   1   1
1078   7   5   6   1   1   1
1079   7   1   5   1   1   1
1080   7   2   5   1   1   1
1081   7   3   6   1   1   1
1082   7   4   6   1   1   1
1083   7   4   7   1   1   1
1084   5   1   5   1   1   1
1085   5   3   6   1   1   1
1086   5   4   6   1   1   1
1087   5   5   7   1   1   1
1088   6   2   6   1   1   1
1089   6   3   6   1   1   1
1090   6   4   7   1   1   1
1091   6   5   7   1   1   1
1092   6   1   6   1   1   1
1093   7   2   7   1   1   1
1094   7   3   7   1   1   1
1095   7   4   8   1   1   1
1096   4   1   6   1   1   1
1097   4   2   6   1   1   1
1098   4   3   7   1   1   1
1099   5   4   7   1   1   1
1100   5   1   6   1   1   1
1101   5   2   7   1   1   1
1102   5   3   7   1   1   1
1103   5   4   8   1   1   1
1104   6   0   7   1   1   1
1105   6   1   7   1   1   1
1106   6   2   7   1   1   1
1107   6   3   8   1   1   1
1108   6   4   8   1   1   1
1109 -10  -3  -6   1   1   1
1110 -11  -3  -6   1   1   1
1111 -12  -4  -6   1   1   1
1112  -9  -4  -6   1   1   1
1113 -10  -4  -6   1   1   1
1114 -11  -5  -6   1   1   1
1115  -9  -5  -6   1   1   1
1116 -10  -5  -6   1   1   1
1117 -11  -5  -7   1   1   1
1118   4   1   7   1   1   1
1119   5   1   8   1   1   1
1120   3   1   7   1   1   1
1121   3   1   8   1   1   1
1122   3   1   9   1   1   1
1123   3   0   7   1   1   1
1124   4   0   8   1   1   1
1125   4  -0   6   1   1   1
1126   4  -1   7   1   1   1
1127   4  -1   8   1   1   1
1128   2  -0   7   1   1   1
1129   3  -0   8   1   1   1
1130   3  -0   9   1   1   1
1131   2   4   8   1   1   1
1132  -3  -7  -3   1   1   1
1133  -2  -7  -2   1   1   1
1134  -1  -7  -1   1   1   1
1135  -1  -7  -0   1   1   1
1136  -0  -7   0   1   1   1
1137  -2  -7  -3   1   1   1
1138  -1  -7  -3   1   1   1
1139  -1  -7  -2   1   1   1
1140  -0  -7  -1   1   1   1
1141   1  -7  -0   1   1   1
1142  -1  -8  -4   1   1   1
1143  -0  -8  -3   1   1   1
1144   0  -8  -2   1   1   1
1145   1  -8  -2   1   1   1
1146   1  -8  -1   1   1   1
1147  -3  -8  -3   1   1   1
1148  -2  -8  -2   1   1   1
1149  -2  -8  -1   1   1   1
1150  -1  -8  -0   1   1   1
1151  -0  -8   1   1   1   1
1152  -2  -8  -3   1   1   1
1153  -1  -8  -2   1   1   1
1154  -0  -8  -1   1   1   1
1155   0  -8   0   1   1   1
1156  -1  -8  -3   1   1   1
1157  -3  -9  -3   1   1   1
1158  -2  -9  -2   1   1   1
1159  -2  -9  -1   1   1   1
1160  -1  -9  -0   1   1   1
1161  -1  -9   1   1   1   1
1162  -2  -9  -3   1   1   1
1163  -1  -9  -1   1   1   1
1164   0  -9   0   1   1   1
1165  -1  -9  -4   1   1   1
1166  -1  -9  -3   1   1   1
1167  -0  -9  -2   1   1   1
1168   0  -9  -1   1   1   1
1169   1  -9  -0   1   1   1
1170 -12  -1   6   1   1   1
1171 -13  -2   6   1   1   1
1172 -10  -5   4   1   1   1
1173 -11  -5   4   1   1   1
1174 -11  -6   4   1   1   1
1175   5   0   8   1   1   1
1176  -8  -5  -4   1   1   1
1177   4  -9  -4   1   1   1
1178   3  -8  -4   1   1   1
1179   3  -7  -5   1   1   1
1180   2  -8  -2   1   1   1
1181   2  -9  -1   1   1   1
1182   3 -10  -2   1   1   1
1183   2  -9   0   1   1   1
1184   2 -10  -0   1   1   1
1185   3 -11  -1   1   1   1
1186   1  -9  -1   1   1   1
1187   2 -10  -1   1   1   1
1188   2 -11  -2   1   1   1
1189   1 -10  -2   1   1   1
1190   1 -11  -2   1   1   1
1191   0 -10  -0   1   1   1
1192   1 -11  -1   1   1   1
1193  -0  -5   9   1   1   1
1194   6  -6  -4   1   1   1
1195   6  -7  -4   1   1   1
1196   6  -8  -4   1   1   1
1197   5  -9  -5   1   1   1
1198   5 -10  -5   1   1   1
1199   5 -11  -5   1   1   1
1200   5 -12  -5   1   1   1
1201   6  -7  -5   1   1   1
1202   5  -8  -6   1   1   1
1203   5  -9  -6   1   1   1
1204   5 -10  -6   1   1   1
1205   5 -11  -6   1   1   1
1206   4 -12  -6   1   1   1
1207   7  -6  -5   1   1   1
1208   7  -7  -5   1   1   1
1209   6  -8  -5   1   1   1
1210   6  -9  -5   1   1   1
1211   6 -10  -6   1   1   1
1212   5 -12  -6   1   1   1
1213   8  -7  -4   1   1   1
1214   7  -8  -5   1   1   1
1215   7  -9  -5   1   1   1
1216   7 -10  -5   1   1   1
1217   6 -10  -5   1   1   1
1218   6 -11  -5   1   1   1
1219   6 -12  -6   1   1   1
1220   7  -6  -6   1   1   1
1221   6  -7  -6   1   1   1
1222   6  -8  -7   1   1   1
1223   6  -9  -7   1   1   1
1224   5 -10  -7   1   1   1
1225   5 -11  -7   1   1   1
1226   5 -12  -7   1   1   1
1227   7  -7  -6   1   1   1
1228   7  -8  -6   1   1   1
1229   6  -9  -6   1   1   1
1230   6 -10  -7   1   1   1
1231   6 -11  -7   1   1   1
1232   6 -12  -7   1   1   1
1233   8  -7  -5   1   1   1
1234   8  -8  -5   1   1   1
1235   8  -9  -6   1   1   1
1236   7 -10  -6   1   1   1
1237   7 -11  -6   1   1   1
1238   7  -6  -7   1   1   1
1239   7  -7  -7   1   1   1
1240   6  -9  -8   1   1   1
1241   6 -10  -8   1   1   1
1242   5 -11  -8   1   1   1
1243   5 -12  -8   1   1   1
1244   8  -6  -7   1   1   1
1245   8  -7  -7   1   1   1
1246   7  -8  -7   1   1   1
1247   7  -9  -7   1   1   1
1248   7 -10  -7   1   1   1
1249   6 -11  -8   1   1   1
1250   6 -12  -8   1   1   1
1251   9  -7  -6   1   1   1
1252   8  -8  -6   1   1   1
1253   8  -9  -7   1   1   1
1254   7 -11  -7   1   1   1
1255   7 -12  -7   1   1   1
1256   8  -7  -8   1   1   1
1257   8  -8  -8   1   1   1
1258   7  -9  -8   1   1   1
1259   7 -10  -8   1   1   1
1260   7 -11  -8   1   1   1
1261   6 -12  -9   1   1   1
1262  -7   8   3   1   1   1
1263  -7   9   3   1   1   1
1264  -7  10   3   1   1   1
1265  -6   7   2   1   1   1
1266  -5   9   2   1   1   1
1267  -7   7   2   1   1   1
1268  -7   8   2   1   1   1
1269  -6   9   2   1   1   1
1270  -8   8   1   1   1   1
1271  -7   9   1   1   1   1
1272  -7  10   1   1   1   1
1273  -6   7   1   1   1   1
1274  -6   8   1   1   1   1
1275  -6   9   1   1   1   1
1276 -10   0  -8   1   1   1
1277  -6   4  -4   1   1   1
1278  -7   4  -5   1   1   1
1279  -8   4  -5   1   1   1
1280  -6   3  -4   1   1   1
1281  -7   3  -5   1   1   1
1282  -8   3  -6   1   1   1
1283  -6   2  -5   1   1   1
1284  -7   2  -5   1   1   1
1285  -7   2  -6   1   1   1
1286 -10  -1   6   1   1   1
1287  -9  -6  -4   1   1   1
1288  -9  -6  -5   1   1   1
1289  -9  -7  -6   1   1   1
1290  -9  -7  -7   1   1   1
1291 -10  -7  -8   1   1   1
1292  -9  -7  -3   1   1   1
1293 -10  -7  -4   1   1   1
1294 -10  -8  -5   1   1   1
1295 -10  -8  -6   1   1   1
1296 -11  -8  -7   1   1   1
1297 -10  -6  -5   1   1   1
1298 -10  -7  -6   1   1   1
1299 -11  -7  -7   1   1   1
1300 -10  -5  -4   1   1   1
1301 -10  -5  -5   1   1   1
1302 -10  -6  -6   1   1   1
1303 -11  -6  -7   1   1   1
1304 -11  -6  -8   1   1   1
1305 -10  -6  -3   1   1   1
1306 -11  -6  -4   1   1   1
1307 -11  -7  -5   1   1   1
1308 -11  -7  -6   1   1   1
1309 -12  -7  -7   1   1   1
1310 -12   1   3   1   1   1
1311 -12  -0   4   1   1   1
1312 -10   0   4   1   1   1
1313 -12   2   4   1   1   1
1314 -11   1   4   1   1   1
1315 -11   0   4   1   1   1
1316 -13   2   4   1   1   1
1317 -12   1   5   1   1   1
1318 -12   0   5   1   1   1
1319 -11   2   4   1   1   1
1320 -11   2   5   1   1   1
1321 -11   1   5   1   1   1
1322  -9  -8  -2   1   1   1
1323  -9  -9  -1   1   1   1
1324  -9 -10  -0   1   1   1
1325 -11  -7  -3   1   1   1
1326 -11  -8  -2   1   1   1
1327 -10  -9  -2   1   1   1
1328 -10  -9  -1   1   1   1
1329 -10 -10  -0   1   1   1
1330 -10  -8  -4   1   1   1
1331 -10  -9  -3   1   1   1
1332 -10 -10  -1   1   1   1
1333  -9 -10  -1   1   1   1
1334  -9  -8  -4   1   1   1
1335  -9  -9  -3   1   1   1
1336  -9 -10  -3   1   1   1
1337  -9 -10  -2   1   1   1
1338  -9 -11  -1   1   1   1
1339 -11  -9  -4   1   1   1
1340 -10 -10  -3   1   1   1
1341 -10 -10  -2   1   1   1
1342 -10 -11  -1   1   1   1
1343   9   2   2   1   1   1
1344  -3  -8   3   1   1   1
1345  -2  -7   3   1   1   1
1346   1 -11  -3   1   1   1
1347   2 -11  -3   1   1   1
1348   3 -10  -3   1   1   1
1349  -5  -6  -7   1   1   1
1350  -4  -7  -7   1   1   1
1351  -3  -7  -6   1   1   1
1352  -6  -5  -1   1   1   1
1353   0 -10   1   1   1   1
1354   8  -1  -5   1   1   1
1355   2  -1 -10   1   1   1
1356   3  -1 -11   1   1   1
1357   3  -0 -12   1   1   1
1358   3  -0 -13   1   1   1
1359   3  -0 -14   1   1   1
1360   3   0  -9   1   1   1
1361   3   0 -10   1   1   1
1362   4   1 -11   1   1   1
1363   4   1 -12   1   1   1
1364   4   1 -13   1   1   1
1365   3  -1 -10   1   1   1
1366   4  -1 -11   1   1   1
1367   4  -0 -11   1   1   1
1368   4  -0 -12   1   1   1
1369   4  -0 -13   1   1   1
1370   4  -2 -11   1   1   1
1371   4  -1 -12   1   1   1
1372   4  -1 -13   1   1   1
1373   4  -1 -14   1   1   1
1374   4  -1  -9   1   1   1
1375   5  -1 -10   1   1   1
1376   5  -0 -11   1   1   1
1377   5  -0 -12   1   1   1
1378   5   0 -13   1   1   1
1379 -11  -7  -8   1   1   1
1380 -11  -7  -9   1   1   1
1381 -11  -7 -10   1   1   1
1382 -10  -7  -9   1   1   1
1383 -10  -7 -10   1   1   1
1384  -9  -8  -8   1   1   1
1385  -9  -8  -9   1   1   1
1386  -9  -7 -10   1   1   1
1387   3   3  -8   1   1   1
1388   2   2  -8   1   1   1
1389   1   2  -8   1   1   1
1390   4   5   1   1   1   1
1391   4   6   1   1   1   1
1392   3   6   2   1   1   1
1393   5   0 -14   1   1   1
1394  -2   2  -6   1   1   1
1395  -1   1  -7   1   1   1
1396 -11  -9  -3   1   1   1
1397 -11  -8  -3   1   1   1
1398 -11  -0   6   1   1   1
1399 -12   0   6   1   1   1
1400 -13   1   6   1   1   1
1401  -8  -3   9   1   1   1
1402  -9  -3   9   1   1   1
1403 -10  -3   8   1   1   1
1404  -8  -4   8   1   1   1
1405  -9  -4   8   1   1   1
1406 -10  -4   8   1   1   1
1407  -8  -4   9   1   1   1
1408  -9  -4   9   1   1   1
1409  -8  -4  10   1   1   1
1410  -9  -4  10   1   1   1
1411 -10  -4   9   1   1   1
1412  -8  -5   9   1   1   1
1413  -9  -5   9   1   1   1
1414 -10  -5   8   1   1   1
1415  -4  -1  -8   1   1   1
1416  -4  -2  -9   1   1   1
1417  -4  -3 -10   1   1   1
1418   6   6   6   1   1   1
1419   7   6   6   1   1   1
1420   8   6   6   1   1   1
1421   6  -7  -3   1   1   1
1422   9  -3  -4   1   1   1
1423   8  -3  -4   1   1   1
1424   9  -2  -5   1   1   1
1425   7  -3  -5   1   1   1
1426   9  -1  -6   1   1   1
1427   8  -2  -6   1   1   1
1428   7  -2  -6   1   1   1
1429   3  -5   7   1   1   1
1430   2  -5   6   1   1   1
1431   0 -11  -1   1   1   1
1432  -6   5   7   1   1   1
1433  -6   4   7   1   1   1
1434  -6   4   8   1   1   1
1435  -7   5   7   1   1   1
1436  -7   4   8   1   1   1
1437  -6   5   6   1   1   1
1438  -7   4   7   1   1   1
1439  -6   4   6   1   1   1
1440  -6   3   7   1   1   1
1441  -7   3   7   1   1   1
1442  -7   4   6   1   1   1
1443  -8   4   6   1   1   1
1444  -8   3   7   1   1   1
1445 -12   1   8   1   1   1
1446 -13   1   8   1   1   1
1447 -14   1   8   1   1   1
1448 -12   1   7   1   1   1
1449 -13   1   7   1   1   1
1450 -14   0   7   1   1   1
1451 -12   1   6   1   1   1
1452 -13   0   6   1   1   1
1453 -14  -0   6   1   1   1
1454 -11   2  -3   1   1   1
1455 -11   2  -4   1   1   1
1456 -12   1  -5   1   1   1
1457  -1   4  -5   1   1   1
1458  -1  -3   4   1   1   1
1459   4   1  -7   1   1   1
1460   5   0  -7   1   1   1
1461  -9 -10  -4   1   1   1
1462 -11 -11  -2   1   1   1
1463 -10 -11  -3   1   1   1
1464 -10 -12  -4   1   1   1
1465 -11 -10  -3   1   1   1
1466 -10 -11  -4   1   1   1
1467 -11 -10  -4   1   1   1
1468 -10 -10  -5   1   1   1
1469 -12 -11  -3   1   1   1
1470 -11 -11  -4   1   1   1
1471 -10 -12  -5   1   1   1
1472 -11   8  -1   1   1   1
1473 -12 -11  -4   1   1   1
1474   9  -4  -9   1   1   1
1475 -10   2  -2   1   1   1
1476   8   1  -1   1   1   1
1477 -12   2   3   1   1   1
1478 -12   2   2   1   1   1
1479 -12   2   1   1   1   1
1480  11 -11  -6   1   1   1
1481  10 -11  -6   1   1   1
1482   9 -11  -7   1   1   1
1483   8 -12  -7   1   1   1
1484  11 -12  -5   1   1   1
1485  10 -12  -5   1   1   1
1486   9 -12  -6   1   1   1
1487   8 -12  -6   1   1   1
1488  10 -12  -4   1   1   1
1489  10 -13  -5   1   1   1
1490   9 -13  -5   1   1   1
1491   8 -13  -6   1   1   1
1492   7 -13  -6   1   1   1
1493  11 -12  -6   1   1   1
1494  11 -12  -7   1   1   1
1495  10 -12  -7   1   1   1
1496   9 -12  -7   1   1   1
1497   8 -12  -8   1   1   1
1498  11 -13  -5   1   1   1
1499  10 -13  -6   1   1   1
1500   9 -13  -6   1   1   1
1501   8 -13  -7   1   1   1
1502   7 -14  -6   1   1   1
1503  12 -13  -7   1   1   1
1504  11 -13  -7   1   1   1
1505  10 -13  -8   1   1   1
1506   9 -13  -8   1   1   1
1507   8 -13  -8   1   1   1
1508  11 -14  -6   1   1   1
1509  10 -14  -7   1   1   1
1510   9 -14  -7   1   1   1
1511   8 -14  -8   1   1   1
1512  11 -14  -5   1   1   1
1513  10 -14  -6   1   1   1
1514   9 -14  -6   1   1   1
1515   8 -14  -6   1   1   1
1516   8 -14  -7   1   1   1
1517  -4   9  -5   1   1   1
1518  -5   3   8   1   1   1
1519  -7   4   9   1   1   1
1520  -4   7  -5   1   1   1
1521  -4   8  -5   1   1   1
1522   0   3   8   1   1   1
1523   1   4   9   1   1   1
1524   4   1 -10   1   1   1
1525   3   1 -11   1   1   1
1526  -9  -5   7   1   1   1
1527 -10  -5   7   1   1   1
1528 -10  -6   8   1   1   1
1529  -5  -5   1   1   1   1
1530  -5  -6   1   1   1   1
1531 -10   3  -5   1   1   1
1532 -11   4  -4   1   1   1
1533 -12   5  -4   1   1   1
1534 -10   4  -6   1   1   1
1535 -10   5  -5   1   1   1
1536 -11   6  -5   1   1   1
1537 -11   4  -5   1   1   1
1538 -12   5  -5   1   1   1
1539 -11   3  -6   1   1   1
1540 -12   4  -6   1   1   1
1541 -12   4  -5   1   1   1
1542 -10   4  -7   1   1   1
1543 -11   5  -6   1   1   1
1544 -12   5  -6   1   1   1
1545 -10   1  -9   1   1   1
1546 -11   1  -9   1   1   1
1547 -11   1  -8   1   1   1
1548 -11   2  -7   1   1   1
1549 -12   1  -9   1   1   1
1550 -12   1  -8   1   1   1
1551 -12   1  -7   1   1   1
1552 -13 -10  -5   1   1   1
1553 -14 -10  -4   1   1   1
1554 -15 -10  -4   1   1   1
1555 -16 -10  -3   1   1   1
1556 -17 -10  -3   1   1   1
1557 -13 -12  -4   1   1   1
1558 -14 -12  -4   1   1   1
1559 -15 -11  -3   1   1   1
1560 -16 -11  -3   1   1   1
1561 -16 -11  -2   1   1   1
1562 -13 -11  -4   1   1   1
1563 -13 -11  -3   1   1   1
1564 -14 -10  -3   1   1   1
1565 -15 -10  -3   1   1   1
1566 -16 -10  -2   1   1   1
1567 -12 -10  -4   1   1   1
1568 -13 -10  -3   1   1   1
1569 -15  -9  -2   1   1   1
1570 -16  -9  -2   1   1   1
1571 -13 -11  -2   1   1   1
1572 -14 -11  -2   1   1   1
1573 -15 -11  -2   1   1   1
1574 -16 -11  -1   1   1   1
1575  -5   9   3   1   1   1
1576  -6   9   4   1   1   1
1577  -7   9   4   1   1   1
1578   2  -0   9   1   1   1
1579   1  -1   9   1   1   1
1580  -0  -1  10   1   1   1
1581  -1  -1  10   1   1   1
1582  -2  -1  10   1   1   1
1583  -3  -1  10   1   1   1
1584   1   0  10   1   1   1
1585  -0  -0  10   1   1   1
1586  -1  -0  10   1   1   1
1587  -2  -0  11   1   1   1
1588  -3  -1  11   1   1   1
1589   3   1  10   1   1   1
1590   2   1  10   1   1   1
1591   1   1  10   1   1   1
1592  -0   1  11   1   1   1
1593  -1   1  11   1   1   1
1594  -3   0  12   1   1   1
1595   3  -1   9   1   1   1
1596   2  -1  10   1   1   1
1597   1  -1  10   1   1   1
1598  -1  -2  11   1   1   1
1599  -2  -2  11   1   1   1
1600  -3  -2  11   1   1   1
1601   3   0  10   1   1   1
1602   2  -0  10   1   1   1
1603   1  -0  11   1   1   1
1604   0  -1  11   1   1   1
1605  -1  -1  11   1   1   1
1606  -2  -1  11   1   1   1
1607  -3  -1  12   1   1   1
1608   3   1  11   1   1   1
1609   2   1  11   1   1   1
1610   0   0  11   1   1   1
1611  -1   0  12   1   1   1
1612  -2  -0  12   1   1   1
1613   3  -1  10   1   1   1
1614   2  -2  10   1   1   1
1615   1  -2  11   1   1   1
1616   0  -2  11   1   1   1
1617  -1  -2  12   1   1   1
1618  -2  -2  12   1   1   1
1619   3  -1  11   1   1   1
1620   2  -1  11   1   1   1
1621   1  -1  11   1   1   1
1622   0  -1  12   1   1   1
1623  -1  -1  12   1   1   1
1624  -2  -2  13   1   1   1
1625   3   0  11   1   1   1
1626   2   0  12   1   1   1
1627   1  -0  12   1   1   1
1628   0  -0  12   1   1   1
1629  -1  -1  13   1   1   1
1630  -2  -1  13   1   1   1
1631 -11   3  -0   1   1   1
1632 -12   2   0   1   1   1
1633 -13   2   1   1   1   1
1634 -12   4   0   1   1   1
1635 -12   4   1   1   1   1
1636 -13   3   1   1   1   1
1637 -12   3  -1   1   1   1
1638 -13   3  -0   1   1   1
1639 -13   2  -1   1   1   1
1640 -14   2  -0   1   1   1
1641 -13   4  -1   1   1   1
1642 -13   4  -0   1   1   1
1643 -14   3   0   1   1   1
1644   3   2  12   1   1   1
1645   4   2  13   1   1   1
1646   5   2  13   1   1   1
1647   3   0  12   1   1   1
1648   4   0  12   1   1   1
1649   5   0  12   1   1   1
1650   4   1  12   1   1   1
1651   5   1  12   1   1   1
1652   3   2  11   1   1   1
1653   4   2  12   1   1   1
1654   5   2  12   1   1   1
1655   4   1  10   1   1   1
1656   4   1  11   1   1   1
1657   5   1  11   1   1   1
1658  -5   5   6   1   1   1
1659  -3  -6  -7   1   1   1
1660  -3   3  -6   1   1   1
1661  -3   3  -7   1   1   1
1662   3   8  -1   1   1   1
1663   2   9  -1   1   1   1
1664   2  10  -1   1   1   1
1665   2  11  -1   1   1   1
1666   1  12  -0   1   1   1
1667   1   8  -1   1   1   1
1668   1   9  -1   1   1   1
1669   0  10  -1   1   1   1
1670   0  11  -0   1   1   1
1671   2   7  -1   1   1   1
1672   2   8  -1   1   1   1
1673   1   9  -0   1   1   1
